"SampleID","Date","Al","Alr","As","B","Br","Ba","Be","Car","Cd","Co","Cr","Cu","Fe","Fer","Fer.1","Kr","Lir","Mgr","Mn","Mnr","Mo","Nar","Ni","P","Pb","S","Sr","S.1","Sb","Se","Si","Sir","Sir.1","Sn","Srr","Ti","Tl","Zn","Znr","SAMPLING_DATE","SITE","SAMPLE_DESCRIPTOR","FIELD.REP","DIGEST_DATE","OES_DATE","ICP_NUMBER","LAB.DUPLICATE","LAB.SPIKE","ICP.DUPLICATE","ICP.SPIKE","DRY_MASS"
"CV","7/14/2021",2.02,2.082,1.881,1.867,1.839,1.899,2.03,1.952,1.838,1.959,1.964,1.839,2.138,2.108,2.129,2.203,1.98,2.003,1.894,1.859,2.091,1.984,2.062,2.5,2.038,0.1633,0.1932,0.2055,1.877,1.886,8.652,8.69,8.726,1.973,1.611,2.025,2.048,2.025,1.918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S IPC","7/14/2021",0.052,0.059,0.006,0.02335,0.02432,0.001882,0.001078,0.04122,0.000845,0.000749,0.000958,0.001947,0.02444,0.02972,0.02989,0.08438,0.002207,0.01359,0.003008,0.004557,0.001318,0.08006,0.000848,-0.02124,0.001567,20.63,21.61,21.57,0.001681,-0.001078,0.3278,0.302,0.2999,0.0015,0.001928,0.002192,-0.000691,0.004726,0.00554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lblank","7/14/2021",0.011,0.012,0.002,0.00561,0.006074,0.000403,-0.000017,0.01703,-0.000013,-0.000208,-0.000016,0.000093,0.01441,0.0145,0.01428,0.04937,-0.000147,0.005835,0.001274,0.001345,-0.000296,0.01546,-0.000143,-0.01344,-0.000524,0.03245,0.05826,0.0405,-0.001484,0.000066,-0.000798,0.003532,0.003483,-0.00042,0.000047,0.00032,-0.001817,0.001634,0.000868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CCV","7/15/2021",1.996,2.098,2.049,0.1996,0.2032,0.1947,0.2029,2.011,0.404,0.3938,1.001,0.3932,2.06,2.042,2.043,4.258,1.04,2.048,0.398,0.4022,2.061,2.116,0.4021,2.111,2.008,-0.01021,-0.01415,0.06051,1.017,1.032,2.107,2.093,2.128,0.8034,0.2154,2.079,1.009,0.9777,0.9935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CV","7/15/2021",2.061,2.127,1.997,1.931,1.93,1.994,2.055,1.984,1.94,2.026,2.032,1.957,2.03,2.036,2.054,2.124,2.033,1.975,1.975,1.982,2.112,2.017,2.064,2.11,2.053,0.01367,-0.0461,0.04385,1.98,2.007,9.07,9.142,9.154,2.023,1.893,2.055,2.049,2.034,2.012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S IPC","7/15/2021",0.038,0.044,0.004,0.01325,0.01557,0.002113,0.001803,0.009876,0.001675,0.001746,0.002141,0.002042,0.004747,0.00536,0.005825,0.008428,0.003663,0.003627,0.001797,0.002637,0.002643,0.05767,0.002185,0.01418,0.003663,20.36,20.53,20.55,0.003456,0.005692,0.3928,0.3764,0.3765,0.002497,0.003198,0.002653,0.00448,0.003106,0.00347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lblank","7/15/2021",0.001,0.002,0,0.001538,0.002527,0.000296,0.000209,-0.001548,0.000198,0.000078,0.000515,0.000199,0.000422,0.000498,0.000271,-0.004069,0.000449,-0.000177,0.000192,0.000113,0.000462,-0.004394,0.000132,0.007699,0.001388,0.01702,0.008591,0.02223,0.000106,0.004619,0.009246,0.005697,0.006315,0.000694,0.000295,0.00038,0.000805,0.000639,0.000232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LFB","7/15/2021",30.52,31.43,0.506,0.001488,0.000486,0.001806,0.000122,30.6,0.09882,0.09361,0.1956,4.809,29.49,31.35,31.37,0.0101,0.000153,15.75,4.745,4.999,-0.002138,-0.005107,0.1948,5.338,1.016,10.08,10.24,11.28,0.000733,0.09856,0.000476,-0.002541,0.000302,-0.02871,0.002509,-0.002301,-0.02032,4.85,4.939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","7/15/2021",0.024,0.046,-0.003,-0.000471,0.000202,-0.000439,0.000174,0.04865,0.000411,-0.000189,0.00052,0.004995,0.02618,0.04408,0.04603,0.001472,-0.000075,0.02199,0.004082,0.007093,0.001249,-0.005041,0.000436,0.1253,0.001198,0.01092,-0.01012,0.008297,0.001536,-0.002041,0.003576,0.000362,-0.001594,0.000954,0.000201,0.000608,-0.000289,0.00391,0.006727,"22-Jun-21","BLANK","DIGEST BLANK",2,"30-Jun-21","7/15/2021","1",NA,NA,NA,NA,NA
"2","7/15/2021",0.004,0.006,-0.002,-0.00105,-0.000088,-0.000476,0.000007,0.01016,0.000229,-0.000339,0.000074,0.000834,0.004167,0.005349,0.006502,-0.002842,-0.000245,0.002728,0.000623,0.000697,0.000968,-0.007166,0.000033,0.119,-0.000169,0.00204,-0.03071,-0.001154,0.001535,-0.003218,0.001729,-0.004422,-0.003048,0.000979,0.000029,0.000356,-0.001502,0.000514,0.000529,"22-Jun-21","BLANK","DIGEST BLANK",3,"30-Jun-21","7/15/2021","2",NA,NA,NA,NA,NA
"3","7/15/2021",NA,359.1,0.293,0.05922,0.04771,1.02,0.03035,123.8,0.003603,0.1609,0.4495,0.4222,186.9,349.7,371.3,24.06,0.5279,127.4,6.502,7.36,0.08758,7.857,0.433,12.7,0.5359,3.898,3.385,6.425,-0.01558,-0.01703,12.13,13.54,13.63,-0.03984,1.328,13.33,-0.09088,1.861,2.03,"22-Jun-21","SRM","STSD2",2,"30-Jun-21","7/15/2021","3",NA,NA,NA,NA,0.5259
"4","7/15/2021",NA,350.9,0.283,0.05987,0.04913,1.003,0.02954,122.2,0.003696,0.156,0.4384,0.4059,184.6,345.4,366.3,23.82,0.5114,124.3,6.286,7.152,0.0851,7.694,0.4121,12.43,0.5141,3.834,3.412,6.3,-0.01573,-0.0191,12.64,14.22,14.3,-0.04128,1.311,13.2,-0.09306,1.792,1.97,"22-Jun-21","SRM","STSD2",3,"30-Jun-21","7/15/2021","4",NA,NA,NA,NA,0.4934
