"SampleID","Date","Al","Alr","As","B","Br","Ba","Be","Car","Cd","Co","Cr","Cu","Fe","Fer","Fer.1","Kr","Lir","Mgr","Mn","Mnr","Mo","Nar","Ni","P","Pb","S","Sr","S.1","Sb","Se","Si","Sir","Sir.1","Sn","Srr","Ti","Tl","Zn","Znr","SAMPLING_DATE","SITE","SAMPLE_DESCRIPTOR","FIELD.REP","DIGEST_DATE","OES_DATE","ICP_NUMBER","LAB.DUPLICATE","LAB.SPIKE","ICP.DUPLICATE","ICP.SPIKE","DRY_MASS"
"20","7/14/2021",51.54,53.96,0.098,40.29,42.36,44.28,0.001371,78.1,0.004914,0.02761,0.04861,0.8215,24.48,26.91,26.92,41.98,0.02506,9.363,3.534,3.731,0.00094,101.6,0.0307,3.668,0.1242,4.862,5.331,6.714,0.005799,-0.01583,10.2,10.81,11.02,-0.03318,0.7842,0.9272,-0.02543,39.01,43.65,"22-Jun-21","DL","EPIL",3,"30-Jun-21","7/14/2021","20",NA,NA,NA,NA,0.076
"21","7/14/2021",68.16,76.59,0.182,39.94,43.18,42.64,0.002651,249.8,0.01087,0.03734,0.06804,1.672,45.07,52.34,52.63,48.92,0.04856,18.01,6.572,7.137,0.005186,104.3,0.04564,6.424,0.241,9.944,10.95,15.46,0.003923,-0.01282,11.55,12.27,12.38,-0.03844,1.038,2.035,-0.04246,38.2,43.12,"22-Jun-21","DL","EPIL",4,"30-Jun-21","7/14/2021","21",NA,NA,NA,NA,0.1791
"22","7/14/2021",50.66,53.24,0.099,42.85,45.19,45.39,0.001387,97.15,0.004831,0.02797,0.04673,0.7888,23.41,25.75,25.77,45.42,0.0261,10.19,3.355,3.543,0.001715,109.6,0.03186,3.064,0.1215,4.609,4.896,6.842,0.004687,-0.01483,9.704,10.13,10.37,-0.03326,0.8498,0.9833,-0.02048,40.27,45.77,"22-Jun-21","DL","EPIL",5,"30-Jun-21","7/14/2021","22",NA,NA,NA,NA,0.0775
"25","7/14/2021",13.4,14.41,0.04,0.7847,0.8369,1.531,0.000944,231.9,0.006942,0.01156,0.02397,0.3808,15.1,16.24,16.26,7.752,0.01394,6.664,5.056,5.385,0.001658,17.68,0.01818,4.351,0.09899,5.796,6.391,10.73,0.001793,-0.009244,6.131,6.41,6.567,-0.04139,0.4004,0.6458,-0.03434,2.048,2.126,"22-Jun-21","GC","EPIL",1,"30-Jun-21","7/14/2021","25",NA,NA,NA,NA,0.0906
"26","7/14/2021",23.11,24.04,0.07,0.7646,0.792,1.667,0.001509,376.1,0.009943,0.01623,0.03418,0.605,24.91,27.34,27.45,10.21,0.02444,11.1,6.26,6.777,0.00134,17.31,0.02756,5.971,0.1053,9.284,9.973,17.69,0.001338,-0.004038,6.283,6.602,6.735,-0.04554,0.6373,1.064,-0.04145,2.292,2.375,"22-Jun-21","GC","EPIL",2,"30-Jun-21","7/14/2021","26",NA,NA,NA,NA,0.1468
"27","7/14/2021",48.55,53.41,0.088,44.84,48.43,46.79,0.001178,268,0.01115,0.02976,0.0418,0.5057,16.11,17.68,17.77,46.65,0.02093,9.904,2.521,2.676,-0.000854,115.5,0.03584,3.56,0.07237,5.875,6.469,11.58,0.009079,-0.01575,7.88,8.361,8.591,-0.04,1.13,0.6233,-0.01518,41.83,47.92,"22-Jun-21","GC","EPIL",3,"30-Jun-21","7/14/2021","27",NA,NA,NA,NA,0.0856
"28","7/14/2021",10.76,11.41,0.036,0.8138,0.9007,1.528,0.000587,246.1,0.007673,0.01099,0.01858,0.3505,11.14,11.86,11.91,6.657,0.01045,5.632,5.923,6.323,0.001218,17.41,0.01667,3.743,0.08269,5.287,5.781,10.54,0.001879,-0.01061,5.364,5.593,5.758,-0.0421,0.4086,0.4356,-0.03782,2.1,2.184,"22-Jun-21","GC","EPIL",4,"30-Jun-21","7/14/2021","28",NA,NA,NA,NA,0.0783
"29","7/14/2021",11.41,11.77,0.033,0.8533,0.8997,1.592,0.000535,206.5,0.004778,0.007643,0.02042,0.29,12.29,13.07,13.11,7.217,0.01129,5.452,2.488,2.595,0.001308,18.78,0.01507,3.197,0.04751,3.591,3.846,8.236,0.00158,-0.009656,4.648,4.84,4.949,-0.04185,0.3613,0.53,-0.01845,1.936,1.953,"22-Jun-21","GC","EPIL",5,"30-Jun-21","7/14/2021","29",NA,NA,NA,NA,0.072
"30","7/14/2021",109.7,121,0.234,32.93,35.07,37.38,0.005965,107.4,0.01591,0.059,0.1028,2.475,79.18,99.55,101.3,47.63,0.09404,36.81,7.659,8.377,-0.003207,88.77,0.08205,6.06,0.4181,6.738,7.301,9.437,0.002327,-0.008963,13.9,14.86,14.99,-0.03605,0.8935,3.514,-0.0563,34.89,39.21,"22-Jun-21","BN","EPIP",1,"30-Jun-21","7/14/2021","30",NA,NA,NA,NA,0.2608
"31","7/14/2021",51.94,55.6,0.083,31.42,33.78,36.7,0.001897,64.22,0.004875,0.02779,0.0506,0.7318,30,32.99,33.05,37.02,0.0326,13.66,3.168,3.313,-0.000876,84.32,0.03521,2.774,0.1261,2.883,3.136,4.501,0.00432,-0.01517,10.61,11.24,11.31,-0.03325,0.652,1.303,-0.02434,32.53,35.32,"22-Jun-21","BN","EPIP",2,"30-Jun-21","7/14/2021","31",NA,NA,NA,NA,0.0914
"32","7/14/2021",57.79,61.78,0.109,32.83,34.67,37.47,0.00247,46.87,0.007519,0.03197,0.05305,1.06,35.81,40.04,40.13,37.2,0.03952,15.35,4.01,4.237,-0.002456,85.25,0.04012,2.389,0.1885,3.112,3.345,4.389,0.00284,-0.01534,12.12,12.82,12.88,-0.0316,0.6509,1.408,-0.02858,33.51,36.86,"22-Jun-21","BN","EPIP",3,"30-Jun-21","7/14/2021","32",NA,NA,NA,NA,0.0915
