PROJECT,DATE,SITE,SAMPLE,SAMPLE_DESCRIPTOR,OM.AREA.g.m2,ASH.AREA.g.m2,PHICOCYANIN.MG.M2,TOTAL.MG.M2.RITCHIE
LTREB,7/20/2021,BN,3,EPIL,6.383736258,26.76258662,5.9008639,4.270580833
LTREB,7/20/2021,BN,4,EPIL,14.77378963,66.19794198,13.8835741,51.07942397
LTREB,7/20/2021,BN,5,EPIL,16.43870546,104.0525626,26.38190081,43.1014691
LTREB,8/3/2021,BN,1,EPIL,15.60332459,114.7687045,11.84112925,19.24414835
LTREB,8/3/2021,BN,3,EPIL,4.06524743,21.22592306,5.951255664,6.50604398
LTREB,8/3/2021,GR,1,EPIL,7.340127514,30.8114655,18.52101943,59.38681918
LTREB,8/3/2021,GC,5,EPIL,5.15609467,15.62612364,13.25852915,15.79532457
LTREB,8/3/2021,BG,3,EPIL,3.642003378,15.46828401,5.152002531,17.80241369
LTREB,8/3/2021,WS,1,EPIL,8.245074742,27.80198983,6.721746909,21.59590498
LTREB,8/3/2021,WS,2,EPIL,5.098804729,12.31733727,8.82265088,14.26994803
LTREB,8/3/2021,WS,3,EPIL,20.62437868,53.70931948,27.41323666,8.014694569
LTREB,8/3/2021,WS,4,EPIL,2.623645451,5.041514789,4.06819377,6.871878917
LTREB,8/3/2021,WS,5,EPIL,4.349358769,14.77846636,6.089102277,11.1042492
LTREB,8/3/2021,DL,1,EPIL,9.885437741,59.41668368,14.85937378,32.90770185
LTREB,8/3/2021,DL,2,EPIL,7.598516839,24.04891412,12.11845933,46.59513262
LTREB,8/3/2021,DL,3,EPIL,8.046313723,42.48107568,9.971372652,48.22819462
LTREB,8/3/2021,DL,4,EPIL,7.510828154,18.82851441,9.789798615,40.53297226
LTREB,8/3/2021,DL,5,EPIL,8.022930074,27.22675206,17.12980921,50.8171563
LTREB,8/3/2021,GR,2,EPIL,9.620033321,44.91706734,24.21277504,29.94224902
LTREB,8/3/2021,GR,3,EPIL,8.745484837,43.64791978,13.43624489,25.8648358
LTREB,8/3/2021,GR,4,EPIL,6.430503557,33.23284238,10.20135084,36.12665644
LTREB,8/3/2021,GR,5,EPIL,22.31384734,91.608486,54.1942496,57.65185003
LTREB,8/3/2021,GC,1,EPIL,3.66187948,8.839019434,26.40341377,22.74105572
LTREB,8/3/2021,GC,2,EPIL,12.94518825,64.01800127,29.96608812,29.76882873
LTREB,8/3/2021,GC,3,EPIL,1.031218934,2.635337276,2.972529499,4.46954135
LTREB,8/3/2021,GC,4,EPIL,12.88439076,38.87531696,81.31605584,67.88608666
LTREB,8/3/2021,BG,1,EPIL,7.051339446,36.12189225,9.469559538,17.56282307
LTREB,8/3/2021,BG,2,EPIL,13.35323293,71.82170963,14.00166153,31.05048245
LTREB,8/3/2021,BG,4,EPIL,3.019998307,16.13121047,9.06736077,15.00529323
LTREB,8/3/2021,BG,5,EPIL,5.892679623,27.07826589,12.08466996,14.88087505
LTREB,8/3/2021,BN,2,EPIL,4.068754978,21.71171837,6.965989126,17.74069454
LTREB,8/3/2021,BN,4,EPIL,7.047831898,39.71478997,5.797742007,41.33966092
LTREB,8/3/2021,BN,5,EPIL,26.73452624,171.3951343,4.549195436,75.78109197
LTREB,8/17/2021,WS,1,EPIL,4.629962561,9.680830809,11.41496224,41.67057894
LTREB,8/17/2021,WS,2,EPIL,4.758572632,19.48442578,10.34024972,21.22253301
LTREB,8/17/2021,WS,3,EPIL,0.708190522,3.287072987,7.889643273,16.15311019
LTREB,8/17/2021,WS,4,EPIL,6.266818012,22.36470678,10.03082558,19.18548381
LTREB,8/17/2021,WS,5,EPIL,8.663642065,29.33478804,10.79915384,20.00773519
LTREB,8/17/2021,DL,1,EPIL,5.143233663,15.62378528,11.810029,9.920090532
LTREB,8/17/2021,DL,2,EPIL,9.94681982,50.89860483,32.84391383,42.39723601
LTREB,8/17/2021,DL,3,EPIL,9.470377966,67.22214582,4.522105479,9.771343333
LTREB,8/17/2021,DL,4,EPIL,9.712398736,47.19405019,15.80886686,36.99594808
LTREB,8/17/2021,DL,5,EPIL,4.195026684,21.49951176,18.08298522,26.52740532
LTREB,8/17/2021,GR,1,EPIL,4.332990215,17.61022629,12.70082912,11.25602573
LTREB,8/17/2021,GR,2,EPIL,3.846610309,14.94682863,19.54078037,17.14999007
LTREB,8/17/2021,GR,3,EPIL,3.619788911,8.67065716,8.61593942,8.776237563
LTREB,8/17/2021,GR,4,EPIL,10.21047047,43.43045184,29.35150735,21.24995731
LTREB,8/17/2021,GR,5,EPIL,9.902975478,23.27199237,32.1846703,42.12370605
LTREB,8/17/2021,GC,1,EPIL,5.81083685,14.73462201,52.00698981,21.27747074
LTREB,8/17/2021,GC,2,EPIL,8.791082953,25.77579662,46.51592437,28.61598129
LTREB,8/17/2021,GC,3,EPIL,9.698368546,40.91787872,40.10506307,30.52159433
