,PROJECT,DATE,SITE,SAMPLE,SUBSTRATE,AVERAGE.DEPTH,EPIL.OM.AREA.g.m2,EPIL.ASH.AREA.g.m2,EPIL.CHL.TOTAL.MG.M2.RITCHIE,PHICOCYANIN.MG.M2
61,LTREB,8/17/2021,DL,5,EPIL,37.625,4.195026684,21.49951176,26.52740532,18.08298522
62,LTREB,8/17/2021,GR,1,EPIL,25.75,4.332990215,17.61022629,11.25602573,12.70082912
63,LTREB,8/17/2021,GR,2,EPIL,36.7,3.846610309,14.94682863,17.14999007,19.54078037
64,LTREB,8/17/2021,GR,3,EPIL,11.5,3.619788911,8.67065716,8.776237563,8.61593942
65,LTREB,8/17/2021,GR,4,EPIL,25.25,10.21047047,43.43045184,21.24995731,29.35150735
66,LTREB,8/17/2021,GR,5,EPIL,17.125,9.902975478,23.27199237,42.12370605,32.1846703
67,LTREB,8/17/2021,GC,1,EPIL,22.86,5.81083685,14.73462201,21.27747074,52.00698981
68,LTREB,8/17/2021,GC,2,EPIL,35.8775,8.791082953,25.77579662,28.61598129,46.51592437
69,LTREB,8/17/2021,GC,3,EPIL,37.7825,9.698368546,40.91787872,30.52159433,40.10506307
70,LTREB,8/17/2021,GC,4,EPIL,33.81375,8.038129446,28.16560558,29.32103717,22.26883382
71,LTREB,8/17/2021,GC,5,EPIL,46.355,7.955117491,30.81029631,34.09542522,20.05826053
72,LTREB,8/17/2021,GC,6,EPIL,45.72,8.73262383,14.85680158,20.09483463,26.41335182
73,LTREB,8/17/2021,GC,7,EPIL,47.625,9.513637717,27.34016276,40.90252667,32.40178749
74,LTREB,8/17/2021,BG,1,EPIL,30.95625,26.30660546,177.2480617,28.82607383,19.65980315
75,LTREB,8/17/2021,BG,2,EPIL,31.4325,9.470377966,-13.10068952,39.15418071,23.7232968
76,LTREB,8/17/2021,BG,3,EPIL,37.94125,15.88334379,78.69474875,42.12744326,19.40655823
77,LTREB,8/17/2021,BG,4,EPIL,37.94125,23.51342855,116.8714792,67.37811491,36.70320977
78,LTREB,8/17/2021,BG,5,EPIL,37.94125,NA,NA,NA,NA
79,LTREB,8/17/2021,BG,6,EPIL,41.43375,11.45798816,58.40066412,42.90728361,21.5831083
