Sample ID,Date,Time,Remarks,Run,Al 396.153,Al_r 396.153,As 188.979,B 249.677,B_r 249.677,Ba 233.527,Be 313.107,Ca_r 317.933,Cd 288.802,Co 228.616,Cr 267.716,Cu 327.393,Fe 238.204,Fe_r 238.204,Fe_r 234.349,K_r 766.490,Li_r 670.784,Mg_r 285.213,Mn 257.610,Mn_r 260.568,Mo 202.031,Na_r 589.592,Ni 231.604,P 178.221,Pb 220.353,S 180.669,S 181.975,S_r 181.975,Sb 206.836,Se 196.026,Si 251.611,Si_r 251.611,Si_r 212.412,Sn 189.927,Sr_r 407.771,Ti 334.940,Tl 190.801,Zn 206.200,Zn_r 206.200
,,, ,,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L
Cal Blank,12/7/2021,0:48:41, ,1,0,0.003,-0.003,-0.001,-0.001,0,0,-0.003,0,0,0,0,0,0,0,0.012,0,0,0,0,0,0.007,0,-0.01,0.001,0.002,0.007,-0.009,-0.001,-0.004,0.001,0.003,0,0,0,0,0,0,0
16,12/7/2021,1:55:10, ,27,48.85,61.85,0.124,0.474,0.572,1.398,-0.864,888.1,0.011,0.035,0.059,1.157,58.77,77.81,78.67,79.11,0.102,35.88,15.14,18.8,0.017,4.463,0.043,9.727,0.21,59.85,62.01,75.05,0.002,0.021,5.513,6.504,6.418,0.052,1.573,2.457,-0.028,3.433,3.892
17,12/7/2021,1:57:35, ,28,16.26,19.26,0.065,0.394,0.446,0.56,-0.266,273.5,0.005,0.011,0.019,0.512,19.13,21.87,21.88,112.5,0.031,13.25,10.01,11.51,0.007,2.323,0.001,8.993,0.075,71.07,71.88,84.58,0.002,0.013,4.598,5.296,5.224,0.012,0.54,0.762,-0.018,1.212,1.332
18,12/7/2021,1:59:53, ,29,36.4,44.6,0.099,0.268,0.301,0.827,-0.3,311.8,0.006,0.016,0.039,0.907,38.62,46.51,46.84,103.1,0.059,22.21,6.768,7.774,0.008,2.654,0.016,9.135,0.136,62.55,63.71,76.64,-0.001,0.005,5.755,6.696,6.648,0.017,0.643,1.691,-0.014,1.948,2.146
19,12/7/2021,2:02:14, ,30,52.33,67.64,0.106,29.34,34.35,33.58,-0.571,587.8,0.014,0.052,0.049,1.816,37.51,46.21,46.39,39.14,0.068,18.45,18.87,24.21,0.014,78.21,0.033,5.646,0.236,13.02,13.64,15.76,0.003,0.007,6.851,8.025,7.987,0.033,1.287,1.783,-0.03,27.63,33.11
20,12/7/2021,2:04:51, ,31,0.051,0.075,-0.005,0.081,0.112,0.033,-0.001,0.678,0.001,0,0,0.003,0.041,0.058,0.058,0.096,0,0.024,0.021,0.026,0,0.115,-0.002,0.019,0.003,0.02,0.034,0.025,0.001,0.003,0.013,0.019,0.016,-0.002,0.001,0.002,-0.004,0.027,0.04
20 dup,12/7/2021,2:07:26, ,32,0.008,0.01,-0.006,0.041,0.055,0.004,0,0.094,0.001,0,0,0.002,0.006,0.007,0.008,0.042,-0.001,0.006,0.002,0.002,0,0.038,-0.002,0.012,0.002,0.007,0.013,0.015,0.002,0.002,0.008,0.011,0.011,-0.002,0,0.001,-0.004,0.005,0.006
2 spike,12/7/2021,2:10:02, ,33,55.93,66.82,0.4,36.88,42.85,44.87,-0.046,45.98,0.075,0.119,0.179,4.738,25.52,28.91,28.84,34.01,0.012,16.83,4.447,4.873,0.001,93.2,0.159,4.218,0.788,11.49,11.43,13.35,0,0.077,3.366,3.795,3.868,-0.001,0.732,0.009,-0.009,38.56,44.95
Lblank,12/7/2021,2:12:34, ,34,0.046,0.065,0.001,0.11,0.134,0.038,0,0.081,0,0,0,0.003,0.027,0.033,0.032,0.07,0,0.016,0.003,0.004,0,0.123,0,0.004,0.002,0.012,0.014,0.027,-0.001,-0.002,0.005,0.009,0.008,0,0.001,0,-0.001,0.036,0.047
CV,12/7/2021,2:15:08, ,35,2.039,1.992,2.021,2.096,2.093,2.068,2.044,2.029,1.79,2.014,1.909,2.053,2.024,1.999,1.984,2.235,2.026,1.914,2.014,2.019,2.104,2.409,2.005,1.979,2.014,0.096,0.057,0.107,2.077,2.012,8.698,8.776,8.934,1.858,1.732,2.041,1.951,1.977,1.957
S IPC,12/7/2021,2:17:41, ,36,0.005,0.009,0,0.043,0.045,0.003,0.001,0.022,0.001,0.001,0.001,0.002,0.004,0.005,0.006,0.033,0.001,0.003,0.001,0.001,0.002,0.032,-0.002,-0.019,-0.009,26.26,26.13,26.5,0.001,-0.002,0.011,0.015,0.011,0,0.001,0.001,0,0.005,0.005
21,12/7/2021,2:20:16, ,37,37.71,44.35,-0.055,43.76,50.68,50.89,-0.019,19.77,-0.002,0.041,0.023,0.003,0.482,0.52,0.523,39.36,0.013,2.899,0.02,0.022,0,106.8,0.008,0.013,0.003,0.092,0.113,0.02,0.002,-0.008,3.196,3.699,3.682,-0.003,0.859,0.01,-0.004,40.51,48.29
22,12/7/2021,2:22:50, ,38,56.39,72.21,0.118,28.96,33.8,33.61,-0.542,559.3,0.012,0.05,0.054,1.925,42.82,52.15,52.51,39.7,0.073,19.94,14.31,17.29,0.012,78.38,0.029,5.374,0.252,13.85,13.94,16.06,-0.001,0.012,6.203,7.147,7.106,0.033,1.212,2.105,-0.025,27.89,32.32
23,12/7/2021,2:25:32, ,39,64.61,83.66,0.155,28.47,33.03,32.81,-0.675,696.4,0.017,0.056,0.064,2.623,51.01,64.6,65.29,41.13,0.09,25.03,20.49,26.59,0.016,76.95,0.041,4.725,0.325,15.47,15.73,18.13,-0.001,0.011,6.96,8.19,8.181,0.041,1.408,2.558,-0.035,27.32,32.38
24,12/7/2021,2:28:14, ,40,45.89,58.57,0.059,30.24,35.52,34.82,-0.465,478.2,0.009,0.051,0.041,1.492,29.18,34.8,34.86,38.39,0.055,14.72,12.57,15.18,0.012,77.64,0.026,2.676,0.172,9.523,10.1,11.44,0.002,0.006,6.352,7.241,7.336,0.027,1.102,1.397,-0.021,28.22,33.57
25,12/7/2021,2:30:48, ,41,60.12,77.82,0.103,26.92,31.6,30.79,-1.089,1117,0.016,0.051,0.054,2.14,44.81,57.59,58,39.97,0.094,26.04,18.53,24.2,0.018,75.07,0.035,4.989,0.276,19.61,19.63,22.51,0.003,0.011,7.223,8.438,8.425,0.064,1.776,2.204,-0.04,25.12,30.5
26,12/7/2021,2:33:29, ,42,42.69,52.68,0.017,26.62,30.39,31.24,-0.327,337.5,0.006,0.044,0.039,0.796,27.68,32.58,32.46,33.72,0.047,13.64,8.303,9.534,0.005,68.82,0.022,4.211,0.114,7.978,8.027,9.199,0,0.002,6.634,7.581,7.705,0.016,1.058,1.221,-0.018,24.89,29.41
27,12/7/2021,2:36:06, ,43,44.41,56,0.038,23.58,27.58,27.84,-0.323,334.9,0.007,0.042,0.042,0.981,33.19,39.59,39.59,32.85,0.053,16.06,8.399,9.754,0.005,64.68,0.025,5.411,0.133,9.332,9.239,10.57,-0.002,0.002,6.503,7.413,7.48,0.015,0.992,1.451,-0.017,22.67,26.59
28,12/7/2021,2:38:43, ,44,24.49,30,0.456,0.148,0.173,0.025,-0.031,30.84,0.078,0.084,0.177,4.895,27.1,29.8,29.73,0.087,0,14.78,4.763,5.085,0.002,0.108,0.166,4.264,0.859,11.37,11.19,13.02,0.001,0.09,0.009,0.015,0.005,-0.003,0.001,0.002,-0.008,4.259,4.533
29,12/7/2021,2:41:11, ,45,30.55,38.42,-0.015,26.81,31.28,31.1,-0.313,321.1,0.004,0.037,0.027,0.461,15.53,17.84,17.79,31.69,0.033,9.663,4.859,5.517,0.004,69.77,0.014,2.829,0.072,6.844,6.821,7.817,0.002,0.001,5.015,5.661,5.755,0.014,0.967,0.693,-0.014,24.51,29.07
30,12/7/2021,2:43:45, ,46,29.77,36.8,-0.017,28.14,32.95,32.36,-0.359,367,0.005,0.038,0.024,0.497,13.4,15.4,15.27,32.39,0.032,9.306,5.714,6.55,0.004,74.86,0.015,3.064,0.066,6.488,6.522,7.31,0.003,-0.001,4.571,5.224,5.253,0.017,1.07,0.538,-0.013,25.86,30.89
30 dup,12/7/2021,2:46:22, ,47,29.62,36.3,-0.017,28.24,32.47,32.28,-0.356,364,0.005,0.038,0.024,0.49,13.37,15.23,15.11,32.7,0.033,9.219,5.71,6.494,0.004,73.1,0.014,3.058,0.066,6.614,6.533,7.285,0.004,0.004,4.688,5.28,5.424,0.016,1.063,0.538,-0.013,25.64,30.09
3 spike,12/7/2021,2:48:56, ,48,55.02,70.19,0.442,28.47,33.5,32.95,-0.453,463.2,0.077,0.11,0.177,5.224,36.38,43.83,44.08,33.09,0.037,24.22,12.71,15.35,0.007,77.22,0.153,7.141,0.786,17.64,17.94,21.21,0.002,0.086,5.072,5.892,5.873,0.023,1.142,0.655,-0.023,29.18,34.28
Lblank,12/7/2021,2:51:32, ,49,0.05,0.071,0.001,0.155,0.176,0.039,-0.001,0.519,0,0,0,0.004,0.038,0.05,0.052,0.088,0,0.024,0.012,0.016,0,0.145,0,0.002,0.002,0.017,0.019,0.022,0,-0.002,0.008,0.011,0.008,-0.001,0.001,0.001,-0.002,0.04,0.051
CV,12/7/2021,2:54:07, ,50,2.02,1.952,2.035,2.139,2.089,2.061,2.053,2.06,1.788,2.005,1.898,2.04,2.019,1.981,1.968,2.262,1.942,1.883,2.03,1.993,2.101,2.432,1.997,1.996,2.009,0.095,0.046,0.079,2.081,2.02,8.694,8.656,8.887,1.861,1.766,2.047,1.963,1.983,1.987
S IPC,12/7/2021,2:56:40, ,51,0.005,0.007,0.001,0.071,0.079,0.005,0.001,0.033,0.001,0.001,0.001,0.002,0.005,0.005,0.006,0.044,0.002,0.003,0.002,0.002,0.002,0.052,-0.002,-0.013,-0.009,26.34,26.24,26.58,0.002,-0.002,0.013,0.017,0.013,0,0.001,0.001,0.001,0.007,0.008
31,12/7/2021,2:59:15, ,52,33.38,41.2,0.024,28.19,32.88,33.18,-0.247,254.6,0.004,0.042,0.03,0.615,18.25,21.05,20.96,32.88,0.033,9.751,7.648,8.843,0.004,73.54,0.018,2.56,0.09,5.719,5.696,6.48,0.002,-0.003,5.234,6.022,6.074,0.01,0.925,0.684,-0.014,26.53,31.3
32,12/7/2021,3:01:50, ,53,28.15,33.29,-0.007,26.86,31.13,32.33,-0.109,112.6,0.002,0.036,0.025,0.337,13.28,14.79,14.76,31.09,0.023,7.014,4.118,4.548,0.003,69.39,0.011,2.35,0.059,3.809,3.723,4.221,0.001,-0.002,4.326,4.912,5.033,0.003,0.674,0.538,-0.009,26.06,29.92
33,12/7/2021,3:04:24, ,54,26.33,29.95,-0.011,27.49,31.67,34.02,-0.031,32.8,0,0.034,0.02,0.219,7.274,8.005,7.978,29.53,0.016,4.378,1.998,2.172,0.001,70.03,0.007,0.923,0.034,1.727,1.701,1.916,0.002,-0.007,4.291,4.833,4.875,-0.002,0.572,0.257,-0.006,26.7,31.16
