Sample ID,Date,Time,Remarks,Run,Ag 328.068,Ag 338.289,Al 396.153,Al_r 396.153,As 188.979,B 249.677,B_r 249.677,Ba 233.527,Be 313.107,Ca_r 317.933,Cd 288.802,Co 228.616,Cr 267.716,Cu 327.393,Fe 238.204,Fe_r 238.204,Fe_r 234.349,K_r 766.490,Li_r 670.784,Mg_r 285.213,Mn 257.610,Mn_r 260.568,Mo 202.031,Na_r 589.592,Na 330.237,Ni 231.604,P 177.434,P 178.221,P 213.617,Pb 220.353,S 180.669,S 181.975,S_r 181.975,Sb 206.836,Se 196.026,Si 251.611,Si_r 251.611,Si_r 212.412,Sn 189.927,Sr_r 407.771,Ti 334.940,Tl 190.801,V 292.402,Zn 206.200,Zn_r 206.200,Pd 340.4
,,, ,,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L
79,11/17/2021,19:38:31, ,145,-0.075,-0.079,63.82,79.79,0.111,13.01,15.24,16.28,-0.596,617.8,0.015,0.05,0.071,2.052,62.11,78.14,79.35,29.77,0.096,33.96,13.26,16.03,0.009,41.5,75.69,0.049,6.306,6.196,15.62,0.298,17.3,16.5,20.48,-0.003,0.028,4.265,4.924,4.902,0.033,1.514,2.242,-0.029,0.11,16.05,18.19,
80,11/17/2021,19:41:11, ,146,-0.021,-0.022,16.81,20.89,-0.009,16.29,19.65,20.32,-0.112,115.9,0.003,0.029,0.016,0.336,11.82,13.28,13.24,21.46,0.02,6.587,3.615,4.101,0.002,47.59,71.64,0.01,1.328,1.334,2.884,0.053,3.52,3.301,4.045,0,0.008,2.494,2.877,2.882,0.004,0.541,0.458,-0.013,0.018,16.88,19.85,
81,11/17/2021,19:43:45, ,147,-0.094,-0.093,63.56,81.17,0.085,12.34,14.55,14.53,-1.145,1176,0.018,0.049,0.069,1.968,60.95,79.2,80.36,31.98,0.116,41.12,17.47,22.52,0.015,41.47,74.82,0.046,8.818,8.156,17.3,0.304,24.91,23.52,28.41,0.001,0.034,3.782,4.306,4.226,0.068,2.722,2.319,-0.044,0.111,14.96,17.26,
82,11/17/2021,19:46:14, ,148,-0.028,-0.029,20.03,24.07,0,16.6,19.8,20.78,-0.199,205.2,0.004,0.031,0.02,0.455,16.67,18.42,18.34,21.72,0.026,8.623,2.61,2.874,0.003,47.16,76.12,0.013,1.612,1.521,3.616,0.08,4.978,4.587,5.489,0.001,0.01,1.959,2.243,2.244,0.008,0.709,0.61,-0.011,0.027,17.91,20.06,
82 dup,11/17/2021,19:48:49, ,149,-0.028,-0.029,20.5,23.97,0.004,16.42,19.7,20.26,-0.194,200,0.004,0.03,0.019,0.455,16.24,18.34,18.29,21.66,0.026,8.528,2.544,2.836,0.003,47.29,75.08,0.013,1.588,1.508,3.551,0.078,4.737,4.437,5.499,0.001,0.009,1.992,2.313,2.321,0.008,0.706,0.603,-0.009,0.026,17.29,20.13,
spike 9,11/17/2021,19:51:24, ,150,-0.08,-0.09,70.25,89.93,0.473,24.53,28.99,29.31,-0.395,409,0.081,0.122,0.197,5.648,55.51,68.36,69.17,33.86,0.059,33.97,11.13,13.14,0.006,66.15,117.6,0.167,7.804,8.285,33.39,0.849,21.48,21.16,26.28,0,0.099,3.904,4.489,4.469,0.02,1.229,1.569,-0.024,0.484,27.85,32.29,
Lblank,11/17/2021,7:54:01 PM, ,151,0,-0.001,0.077,0.109,-0.002,0.117,0.141,0.044,-0.001,0.573,0,0,0,0.005,0.082,0.096,0.095,0.098,0,0.043,0.012,0.018,0,0.14,0.186,0.001,0.007,0.004,0.037,0.001,0.037,0.041,0.095,-0.001,-0.001,0.007,0.008,0.01,0,0.002,0.002,-0.002,0,0.046,0.054,
CV,11/17/2021,7:56:39 PM, ,152,0.063,0.017,2.092,2.029,2.055,2.107,2.142,2.087,2.103,2.098,1.806,2.07,1.959,2.025,2.111,2.046,2.034,2.261,2.016,1.96,2.047,2.063,2.153,2.427,13.16,2.043,1.701,1.973,10.73,2.036,0.092,0.053,0.114,2.119,2.018,8.887,8.848,8.995,1.906,1.766,2.106,1.996,2.017,2.031,1.995,
S IPC,11/17/2021,7:59:10 PM, ,153,0.001,0.001,0.007,0.009,0,0.046,0.051,0.004,0.001,0.036,0.001,0.001,0.001,0.002,0.008,0.009,0.009,0.048,0.001,0.004,0.003,0.003,0.002,0.041,0.029,0,-0.016,-0.01,0.019,-0.01,26.66,26.82,27.61,0.001,0.001,0.014,0.016,0.016,0.001,0.001,0.001,0,0.001,0.006,0.007,
83,11/17/2021,8:01:44 PM, ,154,-0.031,-0.036,32.73,39.16,0.046,15.14,17.89,19.26,-0.106,113.6,0.006,0.037,0.036,0.993,31.9,36.8,36.92,22.9,0.04,13.12,7.934,9.161,0.003,44.24,72.31,0.023,2.07,2.167,6.685,0.153,6.459,6.215,7.817,-0.003,0.013,2.121,2.441,2.447,0.003,0.56,1.038,-0.016,0.046,16.94,19.75,
84,11/17/2021,8:04:20 PM, ,155,-0.07,-0.076,66.43,85.78,0.113,13.38,16.05,17.09,-0.459,478.5,0.013,0.052,0.077,2.058,65.37,85.14,86.57,31.56,0.098,35.01,16.16,20.2,0.008,43.13,76.15,0.05,6.273,6.422,15.87,0.301,14.99,14.45,18.19,-0.004,0.03,3.323,3.885,3.862,0.026,1.273,2.343,-0.033,0.113,16.36,19.1,
85,11/17/2021,8:07:02 PM, ,156,-0.024,-0.026,22.11,27.16,0.016,14.66,17.82,18.41,-0.092,97.4,0.004,0.029,0.024,0.586,20.05,22.77,22.75,21.06,0.027,9.301,4.065,4.565,0.002,43.71,66.48,0.014,1.635,1.669,4.361,0.088,4.645,4.478,5.607,-0.001,0.013,2.379,2.79,2.798,0.003,0.497,0.768,-0.01,0.029,15.7,18.54,
86,11/17/2021,8:09:38 PM, ,157,-0.064,-0.072,63.82,81.45,0.105,13.07,15.79,16.82,-0.355,372.1,0.014,0.051,0.076,2.068,63.56,80.52,81.78,30.59,0.091,31.91,15.45,19.01,0.007,42.43,75.54,0.048,5.462,5.631,15.17,0.308,14.27,13.97,17.53,-0.003,0.026,3.972,4.58,4.575,0.019,1.081,2.22,-0.03,0.106,16.43,18.72,
87,11/17/2021,8:12:18 PM, ,158,-0.051,-0.057,52.49,66.05,0.117,14.59,17.5,18.11,-0.203,215.9,0.012,0.045,0.06,1.899,54.95,67.64,68.34,27.85,0.071,24.69,8.932,10.23,0.014,44.55,76.42,0.041,3.759,3.891,12.55,0.257,13.05,12.85,16.09,-0.005,0.023,3.02,3.471,3.46,0.011,0.792,1.954,-0.015,0.09,17.32,19.89,
88,11/17/2021,8:14:58 PM, ,159,-0.016,-0.017,12.72,15.83,-0.01,17.73,20.77,23.07,-0.032,33.39,0.001,0.029,0.015,0.184,6.96,7.482,7.482,21.02,0.012,3.593,2.299,2.499,0.002,49.48,77.98,0.008,0.742,0.778,1.647,0.027,1.969,1.887,2.347,0,0.007,1.675,1.934,1.931,-0.002,0.401,0.273,-0.009,0.011,19.19,21.76,
88 dup,11/17/2021,8:17:29 PM, ,160,-0.016,-0.018,12.7,15.51,-0.011,17.55,21.03,23,-0.031,33.22,0.001,0.029,0.015,0.184,6.837,7.261,7.27,20.73,0.011,3.517,2.27,2.439,0.003,50.43,77.32,0.008,0.764,0.786,1.629,0.026,1.936,1.856,2.289,0.001,0.005,1.744,1.988,1.988,-0.002,0.407,0.273,-0.008,0.011,19.1,21.35,
spike 10,11/17/2021,8:20:00 PM, ,161,-0.075,-0.086,66.92,82.4,0.436,30.87,35.83,35.77,-0.274,283.3,0.076,0.124,0.19,5.305,46.32,55.35,55.87,36.45,0.043,27.9,9.944,11.6,0.007,77.44,134.2,0.162,6.017,6.492,30.11,0.822,16.72,16.58,21.05,0,0.09,4.251,4.734,4.724,0.013,1.075,1.179,-0.022,0.464,32.39,38.78,
Lblank,11/17/2021,8:22:38 PM, ,162,0,0,0.051,0.082,-0.001,0.128,0.169,0.034,0,0.304,0,0,0,0.003,0.047,0.067,0.068,0.094,0,0.029,0.009,0.013,0,0.13,0.145,0.001,0.006,0.004,0.033,0,0.02,0.03,0.095,-0.001,0.001,0.006,0.008,0.009,0,0.001,0.001,-0.001,0,0.035,0.052,
CV ,11/17/2021,8:25:15 PM, ,163,0.072,0.027,2.07,2.031,2.023,2.104,2.153,2.062,2.085,2.056,1.792,2.062,1.945,2.017,2.092,2.05,2.035,2.258,2.012,1.964,2.026,2.063,2.135,2.419,13.06,2.03,1.673,1.921,10.71,2.017,0.081,0.043,0.102,2.089,1.99,8.799,8.858,8.957,1.887,1.736,2.089,1.993,1.996,2.019,1.998,
S IPC,11/17/2021,8:27:45 PM, ,164,0.001,0.001,0.006,0.011,0,0.052,0.058,0.004,0.001,0.023,0.001,0.001,0.001,0.001,0.007,0.007,0.007,0.043,0.001,0.004,0.002,0.003,0.002,0.042,0.016,0,-0.007,-0.015,0.022,-0.009,26.3,26.49,27.34,0.002,0,0.013,0.014,0.022,0.002,0.001,0.001,0,0.001,0.006,0.006,
MFB 3.1,11/17/2021,8:30:18 PM, ,165,-0.012,-0.017,13.47,14.75,0.234,0.072,0.064,0.001,-0.015,15.06,0.04,0.045,0.09,2.372,14.6,15.01,14.99,0.031,0.001,7.46,2.441,2.53,0.001,0.035,3.824,0.089,1.89,2.123,12.6,0.46,6.247,6.15,7.052,0,0.05,0.013,0.015,0.013,-0.001,0,0,-0.005,0.242,2.24,2.283,
MFB 3.10,11/17/2021,8:32:45 PM, ,166,-0.003,-0.004,3.813,3.854,0.065,0.044,0.042,0,-0.004,4.017,0.01,0.012,0.024,0.628,3.994,3.994,3.988,0.033,0,1.986,0.658,0.667,0,0.028,0.881,0.026,0.525,0.598,3.407,0.128,1.817,1.787,1.909,-0.001,0.013,0.004,0.005,0.005,0.001,0,0,-0.001,0.063,0.614,0.64,
Lblank,11/17/2021,8:35:05 PM, ,167,0,0,0.007,0.01,-0.002,0.031,0.033,0.001,0,0.013,0,0,0,0.001,0.009,0.011,0.011,0.023,0,0.004,0.001,0.001,0,0.025,0.03,0.001,0.004,0,0.016,0,0.006,0.008,0.05,-0.001,-0.001,0.003,0.001,0.008,0,0,0,0,0,0.003,0.003,
CV,11/17/2021,8:37:41 PM, ,168,0.059,0.014,2.024,2.013,2.026,2.053,2.105,2.076,2.087,1.998,1.778,2.068,1.95,1.998,2.093,2.036,2.021,2.205,2.037,1.954,2.029,2.059,2.146,2.409,13.03,2.041,1.598,1.876,10.61,2.014,0.078,0.052,0.088,2.083,1.994,8.76,8.847,8.956,1.893,1.764,2.085,1.993,1.996,2.011,1.967,
S IPC,11/17/2021,8:40:12 PM, ,169,0.001,0.001,0.003,0.005,-0.001,0.029,0.031,0.002,0.002,0.008,0.001,0.002,0.002,0.002,0.004,0.004,0.005,0.022,0.002,0.003,0.002,0.003,0.002,0.026,0.036,0,-0.009,-0.018,0.017,-0.009,26.17,26.42,27.12,0.002,0.001,0.015,0.018,0.021,0.002,0.002,0.002,0,0.001,0.003,0.004,
