Sample ID,Date,Time,Remarks,Run,Al 396.2,Al_r 396.2,As 188.9,B 249.6,B_r 249.6,Ba 233.5,Be 313.1,Ca_r 317.9,Cd 228.8,Co 228.6,Cr 267.7,Cu 327.3,Fe 238.2,Fe_r 238.2,Fe_r 234.3,K_r 766.5,Li_r 670.8,Mg_r 285.2,Mn 257.6,Mn_r 260.5,Mo 202.0,Na_r 589.6,Ni 231.6,P 178.2,Pb 220.3,S 181.9,S_r 181.9,S 180.6,Sb 206.8,Se 196.0,Si 251.6,Si_r 251.6,Si_r 212.4,Sn 189.9,Sr_r 407.7,Ti 334.9,Tl 190.8,V 292.4,Zn 206.2,Zn_r 206.2
42,7/14/2021,16:51:06, ,73,31.11,31.25,0.09,0.225,0.2359,0.5129,0.001935,45.21,0.005992,0.02195,0.03588,0.8677,40.73,44.86,45.09,73.76,0.0366,15.89,3.576,3.643,0.01065,2.284,0.0341,5.122,0.1477,45.6,51.06,48.54,-0.00003,-0.008398,5.968,6.395,6.423,-0.03172,0.2036,1.657,-0.02867,0.07712,1.563,1.552
43,7/14/2021,16:54:05, ,74,50.82,53.33,0.142,0.2183,0.2236,0.9161,0.003269,65.71,0.0103,0.03192,0.05595,1.582,57.93,67.43,68.19,60.2,0.05625,23.9,6.194,6.541,0.003525,2.182,0.05086,7.76,0.2687,35.66,39.66,38.76,-0.001089,-0.006654,8.495,8.913,8.906,-0.0337,0.2973,2.043,-0.04546,0.109,2.53,2.635
44,7/14/2021,16:57:05, ,75,38.22,39.52,0.104,0.1827,0.1907,0.7641,0.002333,51.08,0.007409,0.02443,0.04376,1.025,45.73,50.8,51.11,64.95,0.04511,18.7,4.207,4.314,0.002927,1.907,0.03757,6.098,0.1875,34.69,39.08,37.43,-0.000595,-0.01355,8.691,9.28,9.286,-0.0334,0.2267,1.997,-0.03683,0.08692,1.872,1.871
45,7/14/2021,17:00:06, ,76,17.69,18.32,0.056,0.2358,0.242,0.2931,0.00104,33.63,0.003981,0.01193,0.0194,0.5437,23.16,24.61,24.66,99.16,0.0202,10.59,2.527,2.584,0.004525,1.552,0.01822,4.912,0.09173,53.59,58.47,56.53,-0.000849,-0.008478,4.739,4.988,4.997,-0.02996,0.1618,0.9022,-0.02119,0.03891,0.969,0.967
46,7/14/2021,17:03:03, ,77,21.75,22.38,0.053,0.1938,0.2023,0.4209,0.001355,44.1,0.003715,0.01504,0.03039,0.4513,33.22,36.18,36.35,86.58,0.02466,12.12,2.484,2.54,0.003235,1.673,0.02337,5.649,0.09363,45.6,51.43,48.63,0.000219,-0.01818,4.797,5.099,5.118,-0.03213,0.1867,1.222,-0.02155,0.06579,1.033,1.042
47,7/14/2021,17:06:02, ,78,21.48,22.31,0.056,0.1909,0.2017,0.4185,0.001309,44.13,0.003635,0.01523,0.03014,0.4532,33.05,36.15,36.28,86.44,0.02475,12.06,2.47,2.526,0.003335,1.648,0.02377,5.689,0.0918,45.33,51.59,48.36,-0.000605,-0.01249,4.929,5.277,5.276,-0.03094,0.1874,1.218,-0.02339,0.06526,1.027,1.042
48,7/14/2021,17:09:00, ,79,41.63,46.35,0.473,0.3103,0.344,0.3766,0.001255,71.98,0.08554,0.09223,0.1911,5.001,49.41,56.41,56.87,139.2,0.02226,28.7,6.697,7.073,0.004475,2.06,0.1882,12.17,0.9138,79.55,95.89,83.76,0.00231,0.0601,4.412,4.835,4.859,-0.03286,0.2092,0.9655,-0.04128,0.4731,5.332,5.471
200.7 CV,7/14/2021,17:12:03, ,80,2.02,2.082,1.881,1.867,1.839,1.899,2.03,1.952,1.838,1.959,1.964,1.839,2.138,2.108,2.129,2.203,1.98,2.003,1.894,1.859,2.091,1.984,2.062,2.5,2.038,0.1633,0.1932,0.2055,1.877,1.886,8.652,8.69,8.726,1.973,1.611,2.025,2.048,1.855,2.025,1.918
Sulfur IPC,7/14/2021,17:15:40, ,81,0.052,0.059,0.006,0.02335,0.02432,0.001882,0.001078,0.04122,0.000845,0.000749,0.000958,0.001947,0.02444,0.02972,0.02989,0.08438,0.002207,0.01359,0.003008,0.004557,0.001318,0.08006,0.000848,-0.02124,0.001567,20.63,21.61,21.57,0.001681,-0.001078,0.3278,0.302,0.2999,0.0015,0.001928,0.002192,-0.000691,0.001099,0.004726,0.00554
Lblank,7/14/2021,17:19:10, ,82,0.011,0.012,0.002,0.00561,0.006074,0.000403,-0.000017,0.01703,-0.000013,-0.000208,-0.000016,0.000093,0.01441,0.0145,0.01428,0.04937,-0.000147,0.005835,0.001274,0.001345,-0.000296,0.01546,-0.000143,-0.01344,-0.000524,0.03245,0.05826,0.0405,-0.001484,0.000066,-0.000798,0.003532,0.003483,-0.00042,0.000047,0.00032,-0.001817,0.000146,0.001634,0.000868
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
